loss,test loss
0.02876046481051367,0.027793901
0.0033459316356681448,0.020441648
0.0023058549095395127,0.018816417
0.0020281974325850683,0.018199824
0.0018965110514968817,0.01755036
0.0018294638400742959,0.017617306
0.0017871228606748026,0.016990101
0.001761676066582727,0.017055953
0.0017433126484203089,0.016935145
0.0017361910702725501,0.016891416
0.0017296237159213441,0.016923044
0.001727514541726998,0.016877675
0.001726860558102241,0.016879903
0.0017244632460964326,0.016834108
0.00172465269648286,0.016851434
0.001723873923020771,0.016879348
0.0017213528304281687,0.01686586
0.0017235338710059728,0.016861176
0.001723375062037835,0.016869463
