Time,THCP,THCP01,THCP02,THCP03,THCP04,THCP05,THCP06,THCP07,THCP08,THCP09,THCP10,THCP11,THCP12,THCP13,THCP14,THCP15,THCP16,THCP17,GAS,GAS01,GAS02,GAS03,GAS04,GAS05,GAS06,GAS07,GAS08,GAS09,GAS10,GAS11,GAS12,GAS13,GAS14,GAS15,GAS16,GAS17,GAS18,GAS19,GAS20,GAS21,GAS22,GAS23,GAS24,GAS25,GAS26,GAS27,GAS28,GAS29,GAS30,GAS31,GAS32,GAS33,GAS34,GAS35,GAS36,GAS37,GAS38,GAS39,GAS40,GAS41,GAS42,Average_of_temperature
256.80723,77.115899,93.277907,56.297183,101.91954,137.21764,118.44331,173.92927,252.64457,146.47356,161.28322,206.46582,192.76807,294.60772,582.29593,286.48331,173.00219,216.7429,229.04515,3.0721258,4.2010845,2.3692906,1.9551488,2.0881561,1.4573013,9.1870057,14.665113,6.1030295,4.410924,4.1262986,2.4676716,25.688967,81.234602,15.80166,5.3354794,6.1949984,3.5079402,168.02776,168.02776,173.91654,153.38136,98.256084,167.05729,167.05729,151.10109,134.23199,96.172589,156.08715,156.08715,118.92928,111.38472,95.972026,141.50772,141.50772,115.32606,115.09145,99.543453,136.739,136.739,112.23708,106.55725,83.423313,132.174485
257.10957,78.055592,94.156685,56.547265,95.91011,130.84631,115.32424,174.17991,250.76139,148.33231,161.80699,207.56044,188.70179,290.27645,600.31391,287.76896,175.47481,217.73294,228.16748,3.0677131,4.3233052,2.741729,1.6950783,2.0866652,1.5818883,9.6138973,16.013141,7.4715,3.2634184,4.1975627,2.8597531,27.437326,74.340783,16.879777,4.2477563,5.5527555,3.9289243,162.6259,162.6259,165.04352,156.04672,82.337862,154.09635,154.09635,161.98986,140.92811,80.546075,131.67646,131.67646,147.04397,126.03299,76.009933,117.82158,117.82158,131.2484,111.10507,69.776512,116.6812,116.6812,120.56057,99.097121,61.335177,123.79619479999995
257.41191,82.631967,99.37598,56.232393,94.387803,126.42181,108.89532,173.12162,255.41256,151.40821,160.28306,206.42065,189.89342,297.47439,616.37313,284.5593,177.0591,219.59323,229.02256,3.2984766,4.9030184,2.8990807,1.7134661,2.2601315,1.7521694,10.430175,21.20515,7.6214904,2.9811971,4.5505439,3.7161376,34.07503,86.76626,15.683477,4.1145834,5.4716369,4.0730442,158.50498,158.50498,148.84369,131.85975,104.90093,146.97284,146.97284,119.85906,102.52306,93.368532,132.93542,132.93542,109.6944,86.577831,83.678623,123.81265,123.81265,100.1431,77.294752,93.069864,103.69949,103.69949,80.435247,71.449877,105.82795,113.65509703999999
257.71425,84.387986,102.88718,57.365729,94.79812,124.50064,105.86079,170.34248,268.17078,159.60346,157.71885,203.06202,195.09818,309.69436,625.48275,285.78711,173.56082,220.12684,229.37193,3.3565727,4.958787,2.9271745,1.6708278,2.0846646,1.7976444,10.221972,22.748601,9.0149401,2.9028473,4.0068032,4.9052931,36.919963,78.957278,13.474017,4.2322631,5.3919225,4.3025001,154.49927,154.49927,154.33847,165.42339,167.73505,150.7821,150.7821,159.87634,174.21355,172.22861,139.62909,139.62909,156.5361,167.25082,157.30451,127.43176,127.43176,138.0627,138.67128,126.77961,101.56829,101.56829,111.35138,115.93928,112.81397,142.6538432
258.00148,84.390304,103.5948,57.109036,93.584864,121.85683,102.48055,167.69958,265.66096,160.02153,153.14651,203.18373,197.63275,339.62909,629.56927,275.15782,172.56871,221.04249,229.79791,3.4173931,4.2878578,2.5661975,1.8735537,2.3059586,1.8433058,10.38839,15.298767,6.5147894,3.3252639,4.9102461,4.5679925,54.215944,66.33348,10.648581,5.0883026,7.0484681,4.6654222,154.87862,154.87862,167.03146,176.15007,177.13878,166.17278,166.17278,177.78672,180.00137,177.00666,181.99657,181.99657,188.56136,183.83469,174.22429,186.25889,186.25889,191.87874,186.58037,166.72845,180.21083,180.21083,184.20853,184.36339,165.63025,176.80642040000006
258.30382,85.242889,102.98841,55.825015,92.494831,119.0917,102.35352,184.4539,266.00917,149.76111,151.50834,205.61497,204.64631,386.45835,599.41014,254.09432,173.63892,221.08238,234.66209,4.5145107,3.9188213,2.0719073,2.1265904,2.3361098,2.0805223,18.873108,13.947333,4.3758412,4.0061205,5.5448331,6.204138,65.680803,41.216455,6.3470122,5.3004156,5.5861147,6.6842059,157.47784,157.47784,162.39361,160.80298,156.70416,157.23974,157.23974,156.77438,156.5372,143.37321,165.83915,165.83915,163.34103,158.96405,143.92112,173.97938,173.97938,158.70326,147.49387,132.01298,174.14063,174.14063,153.62845,137.35756,116.36358,156.2289968
258.60616,85.476322,103.76251,54.951697,93.565417,117.13914,104.74826,211.62825,267.0842,139.66862,151.56604,203.21239,207.06113,418.25665,609.78434,231.11283,172.2817,221.75184,236.80522,4.3218519,4.5782493,2.0490528,1.8806644,2.1613633,1.4353615,19.863639,16.163797,4.2213899,3.316902,3.9869374,2.5735817,51.906349,75.37506,7.8944427,4.8545221,6.0885663,3.2909218,158.52736,158.52736,174.70805,189.73377,177.92878,154.25803,154.25803,176.58693,204.99114,195.32288,157.3782,157.3782,184.97193,206.15341,192.94784,164.60126,164.60126,186.24871,203.95945,195.35821,161.48781,161.48781,179.92327,197.05869,188.34459,177.86971879999993
258.9085,84.528006,100.45188,52.936653,93.809678,117.13475,109.96965,213.27824,271.83462,136.72765,152.24103,202.49823,207.36031,408.85175,635.11178,219.30487,174.0634,224.79621,236.87261,3.0641765,4.3289122,2.1683835,1.7495017,2.2125443,1.5132708,9.36973,15.788537,4.7375511,3.0062419,4.0972078,2.6626346,33.335432,89.910872,11.138256,5.0397712,7.5770476,4.0139281,139.39805,139.39805,147.5784,146.51242,145.99712,146.11107,146.11107,161.71024,150.4412,136.44687,160.43217,160.43217,176.83179,151.18135,129.98992,192.95763,192.95763,204.69918,160.48719,122.14867,219.57681,219.57681,216.59925,170.59797,120.26602,162.337562
259.21084,82.62338,99.229988,50.747499,92.996685,118.20432,110.99693,204.46101,268.00086,131.67822,157.05616,205.57467,207.77925,414.35108,648.79088,233.19592,172.7366,228.0672,244.05169,3.1333156,4.0642961,2.3389703,1.7659178,2.2720567,1.6131482,8.933535,14.265876,5.2130758,3.1413626,4.6215958,2.9256368,39.729156,68.322837,16.078149,5.0266895,7.6033554,4.8081576,166.15012,166.15012,178.91284,182.91167,188.14842,170.7789,170.7789,174.12659,168.5592,172.64432,175.86925,175.86925,169.9033,162.1856,168.43248,181.443,181.443,161.07575,144.46311,154.01902,180.71037,180.71037,154.50519,134.47216,141.8451,168.24432119999997
259.51318,83.698884,97.683024,48.734193,94.63111,118.19173,109.0891,201.64618,269.38137,126.39,156.88852,206.4147,205.29853,411.26484,651.47799,223.06593,168.67941,222.36799,248.17057,3.3531208,4.8155133,2.2713887,1.792807,2.1915901,1.4822761,10.369642,18.806245,5.1997839,3.2664464,4.3624127,2.7210138,36.405482,82.707266,9.3097063,4.6027783,5.9152423,3.8092036,184.59473,184.59473,203.86615,222.45938,223.97286,180.50249,180.50249,206.31378,226.69295,229.56693,171.53119,171.53119,201.40714,229.00262,236.85515,164.83794,164.83794,194.60104,221.80105,230.71913,151.84284,151.84284,168.56559,194.704,207.9261,196.20289
