loss,test loss
0.012258834008660733,0.018517368
0.0010741856024084188,0.01247898
0.0006239040315392498,0.011942512
0.0005044469713785135,0.011627351
0.0004511245774860546,0.0115142455
0.0004241072236873031,0.01145135
0.0004073447182758407,0.0114446385
0.0003985271799411139,0.011423803
0.0003915924964843029,0.011422978
0.0003894456186202714,0.011424052
0.00038662507818672167,0.011428616
0.0003853485112312087,0.011413703
0.0003840944504694976,0.0114170555
0.0003837952035400101,0.011419148
0.0003827982479856248,0.011417247
0.00038250451157347486,0.011418276
0.000383618749417257,0.011418281
