train,test
0.03944389274967219,0.020058500468282097
0.018463926376748777,0.019658688635352146
0.018151080978657298,0.019250844021787845
0.018078662869417835,0.019814820477671653
0.01739887505366592,0.018023461316633654
0.01578749469546732,0.016798324798828507
0.01268078255577233,0.013331078901797175
0.010802777521386892,0.012518922181194088
0.01045327471990982,0.012144320189997733
0.010333340674758197,0.01235225958839418
0.010227024894887077,0.012195261015769947
0.010197833735674977,0.01220648430557136
0.010161028164280262,0.01206718735307096
0.010146321935993517,0.011905977070466223
0.010097728138845526,0.011998448346977133
0.010075867580126725,0.012495100784328687
