train,test
0.04501200051892377,0.02937304216201406
0.026369028278665694,0.027390405131750797
0.025961767445376257,0.027386890264250428
0.01941650244733972,0.019150442701865392
0.015446412054176082,0.018288012593984604
0.014894276973091529,0.01691874100389071
0.014647124910014186,0.017412099824567515
0.014426892557982095,0.016749781623752003
0.014310905665069639,0.01711161285414394
0.014209993980556189,0.01680444482242666
0.014157663534333806,0.01699407763936254
0.014119621788063842,0.016455043342907028
0.014056382797852547,0.01667468390057245
0.01404986889260207,0.016548580035612166
0.014014734477849905,0.016871388300310774
0.013967831820652695,0.01647842183417405
