loss,test loss
0.02580638803348019,0.47490808
0.0038862780863788016,0.47483525
0.0028405049165692365,0.4748342
0.0023743481129767504,0.4748211
0.0021389488694442457,0.47481802
0.0020087580916951274,0.47478107
0.0019322689636472132,0.47481066
0.0018860874739060603,0.47477698
0.0018583535461105627,0.47479698
0.0018423250770325413,0.47482294
0.0018336623197071032,0.47472826
0.0018293712222441515,0.47485656
0.001826984345645524,0.47476378
0.001825758214408329,0.4747102
0.0018253489105851564,0.4748004
0.0018249707772525598,0.47479036
0.0018249946851559941,0.47482336
0.001824808292238429,0.47477177
0.0018248637909954876,0.4747559
