loss,test loss
0.011735766612395964,0.01578635
0.0010721134464679095,0.008709047
0.0006211835843174359,0.007390245
0.0005033585044963396,0.006724417
0.0004487911654884463,0.006513136
0.0004220012582207664,0.006345632
0.00040550586281854525,0.0063142264
0.0003957794103218187,0.0062600356
0.0003896865221189962,0.006228438
0.0003868949057541253,0.006224981
0.0003842409195784916,0.0062106443
0.00038276466221330384,0.0062014624
0.0003833256404183762,0.0062041804
0.00038078713267096454,0.006202571
0.00038201877844048105,0.0061951154
0.00038079510884945014,0.0061984835
0.00038073769385969455,0.0062006977
0.0003822047208922242,0.0061973943
0.0003811459070672481,0.006196963
0.00038202704018229315,0.0061965478
