time,true,pre
45.0,29.699999667704105,88.38508355617523
45.3,29.899999909102917,88.38508355617523
45.6,30.100000150501728,88.7610729932785
45.9,30.200000271201134,89.3381929397583
46.2,30.399999760091305,89.2464109659195
46.5,30.700000122189522,89.1107125878334
46.8,30.900000363588333,89.50560504198074
47.1,31.099999852478504,89.54505455493927
47.4,31.300000093877316,89.89906471967697
47.7,31.500000335276127,89.67899507284164
48.0,31.799999944865704,89.18227916955948
48.3,32.000000186264515,89.00332057476044
48.6,32.29999979585409,89.05705571174622
48.9,32.60000015795231,89.02948981523514
49.2,33.00000064074993,89.18286913633347
49.5,33.30000025033951,89.50631541013718
49.8,33.70000073313713,90.1105015873909
50.1,34.00000034272671,90.94490122795105
50.4,34.39999932050705,90.52522414922714
50.7,34.70000043511391,90.22240263223648
51.0,35.000000044703484,90.63177335262299
51.3,35.29999965429306,91.51422518491745
51.6,35.59999926388264,90.7998777627945
51.9,35.900000378489494,90.34634983539581
52.2,36.19999998807907,90.17159926891327
52.5,36.600000470876694,90.11045342683792
52.8,36.90000008046627,90.16926950216293
53.1,37.30000056326389,90.96147447824478
53.4,37.80000041425228,92.18571573495865
53.7,38.19999939203262,92.30717664957047
54.0,38.70000074803829,92.41893321275711
54.3,39.20000059902668,93.483118891716
54.6,39.70000045001507,94.36613059043884
54.9,40.200000301003456,94.16312181949615
55.2,40.700000151991844,94.31613391637802
55.5,41.400000244379044,93.7993591427803
55.8,42.10000033676624,93.0698110461235
56.1,42.699999555945396,92.8993347287178
56.4,43.399999648332596,94.39054799079895
56.7,44.099999740719795,94.30455130338669
57.0,44.70000046491623,94.87547659873962
57.3,45.29999968409538,96.4632276892662
57.6,45.899998903274536,96.25490921735764
57.9,46.50000113248825,95.36070019006729
58.2,47.19999971985817,94.71914142370224
58.5,47.90000131726265,94.91327059268951
58.8,48.5000005364418,96.56195080280304
59.1,49.19999912381172,97.61743146181107
59.4,49.800001353025436,96.3363186120987
59.7,50.40000057220459,95.19966334104538
60.0,50.99999979138374,95.4453062415123
60.3,51.70000138878822,95.93613451719284
60.6,52.39999997615814,95.87263482809067
60.9,53.20000094175339,95.90317463874817
61.2,53.99999889731407,96.60345315933228
61.5,54.89999923110008,98.18589454889297
61.8,55.79999956488609,98.45479899644852
62.1,56.79999926686287,98.56145054101944
62.4,57.799998968839645,97.92516535520554
62.7,58.79999867081642,97.27816444635391
63.0,59.80000138282776,98.11474335193634
63.3,60.800001084804535,99.27130097150803
63.6,61.80000078678131,100.33803915977478
63.9,62.70000112056732,99.76613861322403
64.2,63.60000145435333,100.31180369853973
64.5,64.39999940991402,100.79387879371643
64.8,65.20000037550926,100.84965473413467
65.1,65.89999896287918,99.704270362854
65.4,66.60000056028366,100.57637369632721
65.7,67.19999977946281,101.56787306070328
66.0,67.9000013768673,103.51969987154007
66.3,68.69999933242798,103.25416666269302
66.6,69.40000092983246,101.95254945755005
66.9,70.30000126361847,100.88683468103409
67.2,71.20000159740448,100.88703334331512
67.5,72.30000066757202,102.00322639942169
67.8,73.39999973773956,104.34729081392288
68.1,74.59999817609787,104.78717124462128
68.4,75.90000200271606,103.50166976451874
68.7,77.39999854564667,105.07712185382843
69.0,78.80000174045563,106.82279741764069
69.3,80.19999891519547,108.33939731121063
69.6,81.60000211000443,111.55375903844833
69.9,82.80000054836273,110.75165104866028
70.2,84.0999983549118,108.53762012720108
70.5,85.40000218153,111.725168466568
70.8,86.79999935626984,108.07449018955231
71.1,88.40000128746033,108.65752184391022
71.4,89.9999971985817,111.74670827388763
71.7,91.69999849796295,110.01579993963242
72.0,93.49999916553497,111.78315377235413
72.3,95.39999920129776,112.19259071350098
72.6,97.39999860525131,115.19296306371689
72.9,99.39999800920486,115.43155044317245
73.2,100.99999994039536,113.67547821998596
73.5,102.99999934434891,112.98476558923721
73.8,103.99999904632568,114.03998136520386
74.1,105.99999845027924,116.1954550743103
74.4,105.99999845027924,115.74134320020676
74.7,106.99999815225601,114.43562030792236
75.0,106.99999815225601,119.08420330286026
75.3,107.99999785423279,119.30990171432495
75.6,108.99999755620956,117.8652777671814
75.9,109.99999725818634,118.21286451816559
