train,test
0.0385420924421769,0.016887253924575914
0.011935439192922087,0.01093781540304961
0.009426409307330309,0.010626099526837289
0.008736117611507754,0.010266565504562423
0.008494341002732471,0.010382765685264245
0.008379218603453567,0.010266578133520951
0.008289259866120535,0.01104051276413073
0.008254148594632343,0.010912313866597342
0.00819813706226893,0.010565326021737364
0.008136118509787115,0.011031973680638405
0.008135869985798726,0.010548718329743448
0.00812765048864345,0.010671965183174035
0.008080906273836308,0.010479820903435529
0.008064171009873217,0.010195829827024275
0.008071166050673515,0.010550713856670871
0.008045990936676259,0.010439455329653728
