time,true,pre
45.0,70.3000014461577,483.3314148783684
45.3,73.19999929890037,483.3314148783684
45.6,71.99999941140413,484.48493015766144
45.9,71.99999941140413,485.95803475379944
46.2,76.30000088363886,485.7556744813919
46.5,86.30000101774931,485.32348561286926
46.8,87.49999769032001,486.11651772260666
47.1,87.60000116378069,486.3807588815689
47.4,82.80000161379576,487.3917372226715
47.7,77.60000102967024,486.6085299253464
48.0,82.49999762326479,485.1604245901108
48.3,90.00000093877316,484.5662549138069
48.6,96.90000270307064,484.8086860179901
48.9,91.70000211894512,484.70503681898117
49.2,94.1999989375472,484.909300327301
49.5,96.79999922960997,485.79044711589813
49.8,95.99999716132879,487.3863875865936
50.1,86.99999961256981,489.5814872980118
50.4,91.70000211894512,488.568039894104
50.7,97.89999885857105,487.41241562366486
51.0,110.99999736249447,488.62719452381134
51.3,108.00000246614218,490.82059675455093
51.6,97.60000129789114,488.8269828557968
51.9,89.39999938756227,487.3822210431099
52.2,88.20000271499157,486.9027084708214
52.5,95.099998049438,486.7409334182739
52.8,110.99999736249447,486.5122364759445
53.1,113.0000025331974,488.61232870817184
53.4,101.99999981373549,491.82020711898804
53.7,111.99999994784594,492.0269911289215
54.0,123.99999882280827,492.1317205429077
54.3,133.99999895691872,494.8113223910332
54.6,159.0000057220459,497.05168825387955
54.9,150.00000174343586,496.25130039453506
55.2,130.00000147521496,496.581383228302
55.5,153.99999922513962,495.06172651052475
55.8,120.99999749660492,493.0791719555855
56.1,123.99999882280827,492.54976373910904
56.4,146.0000042617321,496.3931686282158
56.7,129.00000531971455,495.6239012479782
57.0,140.99999776482582,497.3776559829712
57.3,141.99999392032623,501.3810870051384
57.6,164.99999551475048,500.73156917095184
57.9,164.99999551475048,498.32685631513596
58.2,147.0000004172325,496.538123190403
58.5,139.000005453825,496.83847439289093
58.8,144.99999524652958,501.09436708688736
59.1,160.99999803304672,503.5111680626869
59.4,153.99999922513962,500.23122388124466
59.7,140.99999776482582,497.18517196178436
60.0,179.0000059902668,497.8288257718086
60.3,177.99999697506428,498.9385151863098
60.6,161.99999418854713,498.6979358792305
60.9,161.99999418854713,498.749066054821
61.2,146.0000042617321,500.3541111946106
61.5,137.99999643862247,504.17642617225647
61.8,157.00000055134296,504.7369034290314
62.1,191.9999945908785,504.9239863753319
62.4,187.99999710917473,503.29589664936066
62.7,180.0000021457672,501.43700098991394
63.0,173.0000033378601,503.37912464141846
63.3,183.00000347197056,506.3303748369217
63.6,174.99999564886093,508.5392601490021
63.9,171.99999432265759,507.0601886510849
64.2,210.99999870359898,508.0314562320709
64.5,187.99999710917473,509.17082583904266
64.8,211.9999948590994,509.06393599510193
65.1,220.99999883770943,506.1348044872284
65.4,217.00000135600567,507.8873246908188
65.7,223.00000400841236,510.26827281713486
66.0,221.99999499320984,514.5981859564781
66.3,291.0000126361847,513.8148243427277
66.6,265.0000097155571,510.5763912796974
66.9,280.0000034868717,507.97348469495773
67.2,309.99999102950096,507.713615834713
67.5,274.99999698996544,510.14965492486954
67.8,401.99999740719795,515.582724750042
68.1,335.99999395012856,516.3354802727699
68.4,298.0000114440918,513.2092352509499
68.7,322.99999248981476,516.5502887368202
69.0,273.0000046789646,520.3174098730087
69.3,315.99999368190765,523.2592982053757
69.6,271.0000123679638,529.5351414680481
69.9,267.99999818205833,527.7936806082726
70.2,287.0000022947788,523.0189246535301
70.5,294.0000011026859,529.3775329589844
70.8,286.0000061392784,521.2851281762123
71.1,249.99999022483826,522.5131782889366
71.4,251.0000120997429,528.5990580320358
71.7,245.0000094473362,524.575617313385
72.0,268.99999433755875,528.0865731835365
72.3,327.99999898672104,528.5700979828835
72.6,352.0000095963478,534.1071770787239
72.9,274.000000834465,534.3664801120758
73.2,301.99999606609344,530.8880850076675
73.5,285.000009983778,529.1482701897621
73.8,286.0000061392784,531.0901880860329
74.1,343.9999889135361,535.0151234865189
74.4,326.0000066757202,533.7270957231522
74.7,325.0000105202198,531.0368460416794
75.0,380.0000048279762,539.482841193676
75.3,327.0000028312206,539.4922544956207
75.6,453.0000070929527,536.8549353480339
75.9,450.9999890625477,537.2526087760925
76.2,400.0000050961971,534.0445246100426
76.5,421.99999767541885,532.5567085146904
76.8,421.00000151991844,537.55990421772
77.1,428.99999648332596,544.4954501986504
77.4,453.0000070929527,544.4553793668747
77.7,434.00000298023224,543.5515995025635
78.0,514.0000040531158,542.7814576625824
78.3,524.0000170469284,545.0945065617561
78.6,439.0000094771385,544.1512731313705
78.9,475.99999582767487,544.0324494838715
79.2,401.99999740719795,550.4360153079033
79.5,538.9999850988388,547.7003965973854
79.8,403.9999897181988,551.3045081496239
80.1,419.0000092089176,552.5370334386826
